author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone
СИТИ21,developer,https://www.cian.ru/sale/flat/305970241/,Москва,sale,flat,12,15,1,52.6,22080277.0,Останкинский,проспект Мира,95,Алексеевская,Hill8,,,,,,,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/303534103/,Москва,sale,flat,16,25,1,34.0,9700000.0,,,7,Ольховая,,,,,,,,,
PIONEER,developer,https://www.cian.ru/sale/flat/306809960/,Москва,sale,flat,2,22,1,31.4,17903652.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308872981/,Москва,sale,flat,37,37,2,48.0,42500000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/293713709/,Москва,sale,flat,2,14,3,142.1,309370000.0,Якиманка,,,Полянка,Лаврушинский ЖК,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307116678/,Москва,sale,flat,4,8,4,132.0,91000000.0,Мещанский,Большой Сухаревский переулок,11,Сухаревская,,,,,,,,,
TOUCH,developer,https://www.cian.ru/sale/flat/302838498/,Москва,sale,flat,6,13,3,75.37,41550880.0,Южнопортовый,,к3,Дубровка,Шампайн ЖК,,,,,,,,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/307103864/,Москва,sale,flat,5,21,3,119.0,112000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
Пионер,developer,https://www.cian.ru/sale/flat/301459890/,Москва,sale,flat,7,18,3,84.9,60621401.0,Донской,2-й Донской проезд,10,Ленинский проспект,SHIFT,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303772779/,Москва,sale,flat,5,24,5,182.0,145000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion,,,,,,,,
Среда,developer,https://www.cian.ru/sale/flat/303859440/,Москва,sale,flat,3,13,1,35.3,14768813.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306008768/,Москва,sale,flat,22,53,3,153.0,167970000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской,,,,,,,,
Absolute Premium,developer,https://www.cian.ru/sale/flat/304065721/,Москва,sale,flat,2,18,3,118.1,134761000.0,Хамовники,,,Воробьёвы горы,Коллекция Лужники ЖК,,,,,,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/304689665/,Москва,sale,flat,5,6,5,247.7,285000000.0,Пресненский,Никитский бульвар,15/16,Арбатская,,,,,,,,,
Ташир,developer,https://www.cian.ru/sale/flat/308803040/,Москва,sale,flat,25,32,3,83.7,,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/285032815/,Москва,sale,flat,4,12,-1,298.93,750000000.0,Хамовники,Трубецкая ,10,Фрунзенская,Дом на Трубецкой,,,,,,,,
COLDY,developer,https://www.cian.ru/sale/flat/303330161/,Москва,sale,flat,4,15,3,112.49,85627388.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302177521/,Москва,sale,flat,3,15,2,58.54,61000000.0,Пресненский, Костикова,4к4,Улица 1905 года,Lucky,,,,,,,,
Донстрой,developer,https://www.cian.ru/sale/flat/308969444/,Москва,sale,flat,5,21,3,78.6,32996280.0,Лефортово,,,Площадь Ильича,Символ ЖК,,,,,,,,
